campaign_id,campaign_name,date,target_audience,channel,revenue_generated,impressions,clicks,conversions,spend
548299,New User Discount,2024-11-05,Premium,App,4777.75,3130,163,78,1431.85
390914,Weekend Special,2024-11-05,Inactive,App,6238.11,3925,494,45,4506.34
834385,Festival Offer,2024-11-05,Inactive,Email,2621,7012,370,78,4524.23
241523,Flash Sale,2024-11-05,Inactive,SMS,2955,1115,579,86,3622.79
595111,Membership Drive,2024-11-05,New Users,Email,8951.81,7172,795,54,2888.99
176344,Category Promotion,2024-11-05,Inactive,App,6697.88,4333,421,40,2714.78
875646,App Push Notification,2024-11-05,Premium,Email,9152.99,4752,937,21,3584.76
5516,Email Campaign,2024-11-05,Premium,Social Media,2156.09,1559,418,68,1457.88
989534,Referral Program,2024-11-05,New Users,SMS,8074.17,3838,911,45,4808.64
243346,New User Discount,2024-11-04,Inactive,SMS,4474.02,6289,834,14,3746.35
775791,Weekend Special,2024-11-04,Inactive,App,9535.85,1068,496,87,1043.7
178345,Festival Offer,2024-11-04,Inactive,Social Media,3521.16,4229,914,84,1370.63
60966,Flash Sale,2024-11-04,Inactive,App,2626.78,2712,161,89,4870.23
209071,Membership Drive,2024-11-04,New Users,Social Media,7072.56,9365,753,53,3817.01
712164,Category Promotion,2024-11-04,All,App,6494.09,4813,321,88,2512.51
301304,App Push Notification,2024-11-04,Inactive,Social Media,5356.59,8840,466,24,1776.92
755362,Email Campaign,2024-11-04,Inactive,App,7907.75,7409,949,99,1599.21
362255,Referral Program,2024-11-04,Premium,SMS,2278.39,1997,599,92,3328.47
538453,New User Discount,2024-11-03,New Users,Social Media,2591.79,9594,692,58,3712.46
146888,Weekend Special,2024-11-03,New Users,Email,9623.97,8974,799,64,4907.38
36202,Festival Offer,2024-11-03,New Users,Email,8523.27,7102,858,53,1454.23
232494,Flash Sale,2024-11-03,All,Social Media,5855.87,9487,109,54,1364.19
757108,Membership Drive,2024-11-03,Inactive,Email,9798.33,5922,258,41,1815.23
294530,Category Promotion,2024-11-03,All,App,3326.76,4630,860,76,4337.91
627085,App Push Notification,2024-11-03,All,Email,2649.48,6291,130,66,4644.01
954798,Email Campaign,2024-11-03,All,Email,5816.29,6347,737,100,2352.91
